event_id,timestamp,property_code,person_id,direction,access_point
E0008687,2025-08-05 09:14:00,CDF-BY,P100138,IN,Reception
E0009931,2025-08-13 11:29:00,LDN-HQ,P100032,IN,Turnstile 1
E0007895,2025-07-30 19:34:00,BEL-LG,P100144,OUT,Gate B
E0011964,2025-08-27 10:07:00,NRW-QP,P100236,IN,Gate B
E0012030,2025-08-28 09:08:00,MCH-CC,P100508,IN,Reception
E0008022,2025-07-31 14:52:00,NRW-QP,P100179,OUT,Reception
E0012166,2025-08-29 11:43:00,LDN-HQ,P100306,IN,Reception
E0000885,2025-06-08 19:26:00,EDI-EX,P100243,OUT,Gate A
E0002488,2025-06-20 13:12:00+01:00,MCH-CC,P100019,OUT,Reception
E0011788,2025-08-26 11:36:00,EDI-EX,P100572,IN,Gate A
E0000903,2025-06-08 10:38:00,BEL-LG,P100362,IN,Gate A
E0005351,2025-07-10 19:29:00,LDN-HQ,P100498,OUT,Reception
E0006500,2025-07-18 08:01:00,LDN-HQ,P100578,IN,Turnstile 1
E0002343,2025-06-19 20:33:00,GLW-CL,P100229,OUT,Reception
E0006108,2025-07-16 11:30:00+01:00,LDN-HQ,P100384,OUT,Gate B
E0005124,2025-07-08 07:34:00,BEL-LG,P100582,IN,Gate A
E0006473,2025-07-18 09:40:00,BEL-LG,P100006,IN,Gate A
E0003442,2025-06-26 07:07:00,BHM-PR,P100632,IN,Reception
E0006001,2025-07-15 16:14:00,MCH-CC,P100580,OUT,Turnstile 1
E0009555,2025-08-10 17:58:00,CDF-BY,P100024,OUT,Gate A
E0006076,2025-07-16 07:46:00,GLW-CL,P100650,IN,Gate A
E0009527,2025-08-10 10:34:00,LDN-HQ,P100601,IN,Turnstile 1
E0012344,2025-08-31 18:10:00,CDF-BY,P100364,OUT,Gate B
E0005235,09/07/2025 08:36,BEL-LG,P100178,IN,Gate B
E0008765,2025-08-06 19:24:00,NRW-QP,P100439,OUT,Gate B
E0004044,2025-06-30 17:56:00,GLW-CL,P100548,OUT,Turnstile 1
E0002319,2025-06-19 10:19:00,BRI-01,P100129,IN,Reception
E0003705,2025-06-28 08:49:00,NRW-QP,P100150,IN,Turnstile 1
E0010713,2025-08-19 15:52:00,GLW-CL,P100065,OUT,Turnstile 1
E0007959,2025-07-30 09:26:00,LDS-AR,P100037,IN,Gate A
E0008787,2025-08-06 12:59:00,BEL LG,P100055,OUT,Reception
E0002418,2025-06-19 07:38:00,EDI-EX,P100297,IN,Gate B
E0004163,01/07/2025 07:15,BEL-LG,P100394,IN,Gate B
E0001003,2025-06-09 13:42:00,BHM-PR,P100505,OUT,Turnstile 1
E0012662,2025-06-29 19:02:00,LDN-HQ,X211721,IN,Turnstile 1
E0011352,23/08/2025 10:01,Manchester City Campus,P100372,IN,Turnstile 1
E0003450,2025-06-26 10:38:00,EDI-EX,P100327,IN,Gate B
E0004829,2025-07-06 11:00:00,BRI-01,P100249,IN,Turnstile 1
E0006558,2025-07-19 19:37:00,BEL-LG,P100135,OUT,Gate A
E0004119,2025-07-01 09:37:00,MCH-CC,P100374,IN,Gate A
E0005782,2025-07-13 11:37:00,GLW-CL,P100212,IN,Reception
E0001955,2025-06-16 18:22:00Z,Unknown,P100534,OUT,Gate B
E0008953,2025-08-07 11:38:00,BHM-PR,P100418,IN,Gate B
E0001509,2025-06-12 09:49:00,MCH-CC,P100407,IN,Gate A
E0004771,2025-07-06 14:42:00,EDI-EX,P100368,OUT,Reception
E0004150,2025-07-01 14:42:00,BHM-PR,P100087,OUT,Gate B
E0012341,2025-08-31 08:38:00,BHM-PR,P100505,IN,Turnstile 1
E0005852,2025-07-13 18:36:00,BRI-01,P100369,OUT,Turnstile 1
E0002819,2025-06-22 17:49:00,LDN-HQ,P100089,OUT,Reception
E0012776,2025-08-23 13:44:00,BRI-01,X290525,OUT,Reception
E0002321,2025-06-19 07:54:00,cdf-by,P100127,IN,Gate B
E0008470,2025-08-03 10:56:00,GLW-CL,P100069,IN,Reception
E0004780,2025-07-06 09:38:00,,P100309,IN,Gate A
E0006831,2025-07-22 20:33:00,CDF-BY,P100624,OUT,Gate A
E0000071,2025-06-01 14:33:00Z,NRW-QP,P100512,OUT,Reception
E0002936,2025-06-22 14:32:00,MCH-CC,P100192,OUT,Gate A
E0005981,2025-07-15 16:51:00,BHM-PR,P100181,OUT,Turnstile 1
E0000009,2025-06-01 07:08:00,NRW-QP,P100073,IN,Turnstile 1
E0005313,2025-07-10 20:12:00,GLW-CL,P100065,OUT,Reception
E0008710,2025-08-05 08:20:00,BEL-LG,P100175,IN,Gate A
E0000773,2025-06-06 11:31:00,CDF-BY,P100610,IN,Gate B
E0011772,2025-08-26 08:53:00,BEL-LG,P100427,IN,Reception
E0011692,2025-08-26 10:01:00,BRI-01,P100412,IN,Turnstile 1
E0003081,2025-06-23 12:27:00,NRW-QP,P100638,OUT,Gate A
E0002037,2025-06-17 19:16:00,BRI-01,P100462,OUT,Reception
E0012302,2025-08-31 07:00:00,BEL-LG,P100362,IN,Gate A
E0009196,2025-08-08 11:48:00,NRW-QP,P100429,IN,Gate A
E0007766,2025-07-29 08:28:00,LDS-AR,P100021,IN,Reception
E0011016,2025-08-21 08:35:00,NRW-QP,P100188,IN,Gate A
E0009550,2025-08-10 07:54:00,NRW-QP,P100188,IN,Gate A
E0003170,2025-06-24 08:31:00,LDS-AR,P100037,IN,Turnstile 1
E0004074,30/06/2025 08:56,BEL-LG,P100616,IN,Gate B
E0001787,2025-06-15 08:46:00,BEL-LG,P100300,IN,Gate B
E0008154,2025-08-01 10:44:00,CDF-BY,P100193,IN,Gate A
E0012152,2025-08-29 20:03:00,LDN-HQ,P100121,OUT,Gate A
E0003064,2025-06-23 08:57:00,BHM-PR,P100049,IN,Gate B
E0009717,12/08/2025 10:21,CDF-BY,P100034,IN,Gate B
E0010469,2025-08-17 11:04:00,GLW-CL,P100589,IN,Gate B
E0004090,2025-06-30 09:43:00,BEL-LG,P100550,OUT,Gate A
E0008533,04/08/2025 09:11,NRW-QP,P100472,IN,Turnstile 1
E0005678,2025-07-12 18:34:00,LDN-HQ,P100581,OUT,Turnstile 1
E0005492,2025-07-11 07:13:00,NRW-QP,P100320,IN,Gate A
E0006527,2025-07-19 16:49:00,BRI-01,P100165,OUT,Gate A
E0009662,11/08/2025 07:13,LDS-AR,P100023,IN,Gate A
E0010105,2025-08-14 15:31:00,LDN-HQ,P100151,OUT,Gate B
E0011942,2025-08-27 15:39:00,NRW-QP,P100632,OUT,Gate A
E0005322,2025-07-10 11:46:00,GLW-CL,P100238,IN,Turnstile 1
E0003786,2025-06-28 09:14:00,NRW-QP,P100161,IN,Gate A
E0010684,2025-08-19 12:38:00+00:00,BEL-LG,P100592,OUT,Gate A
E0006187,2025-07-16 10:54:00,CDF-BY,P100619,IN,Gate A
E0002590,2025-06-20 17:28:00,NRW-QP,P100310,OUT,Reception
E0007890,2025-07-30 09:33:00,LDN-HQ,P100046,IN,Turnstile 1
E0002219,2025-06-18 10:36:00,NRW-QP,P100104,IN,Gate A
E0012877,2025-07-11 10:31:00,LDN-HQ,X227554,OUT,Gate B
E0004404,2025-07-03 20:32:00,EDI-EX,P100283,OUT,Turnstile 1
E0012366,31/08/2025 07:53,MCH-CC,P100287,IN,Turnstile 1
E0002391,19/06/2025 09:29,GLW-CL,P100358,IN,Gate B
E0006212,2025-07-16 14:48:00,CDF-BY,P100331,OUT,Reception
E0005100,2025-07-08 12:17:00,BHM-PR,P100101,OUT,Gate B
E0009759,2025-08-12 09:45:00,,P100337,IN,Reception
E0012750,2025-07-16 08:44:00,GLW-CL,X222614,IN,Turnstile 1
E0009667,11/08/2025 08:30,NRW-QP,P100514,IN,Gate A
E0011832,2025-08-27 17:45:00,BEL-LG,P100248,OUT,Gate B
E0000100,2025-06-01 08:52:00,LDN-HQ,P100498,OUT,Gate B
E0011116,2025-08-22 07:29:00,MCH-CC,P100266,IN,Gate B
E0003782,2025-06-28 10:46:00,LDN-HQ,P100279,IN,Reception
E0012232,2025-08-30 11:08:00,CDF-BY,P100299,IN,Gate B
E0012810,2025-06-26 12:37:00,BRI-01,X215157,OUT,Turnstile 1
E0001521,2025-06-12 07:45:00,CDF-BY,P100054,IN,Reception
E0007920,2025-07-30 15:48:00,BRI-01,P100441,OUT,Gate A
E0006823,2025-07-22 11:37:00,LDN-HQ,P100510,IN,Reception
E0006409,2025-07-18 07:45:00,BRI-01,P100576,IN,Gate B
E0011860,2025-08-27 07:35:00,BEL-LG,P100326,IN,Turnstile 1
E0009380,2025-08-09 18:55:00,MCH-CC,P100344,OUT,Gate A
E0005063,2025-07-08 07:18:00,NRW-QP,P100514,IN,Gate A
E0005965,2025-07-14 07:45:00,BEL-LG,P100248,IN,Gate A
E0009350,2025-08-09 19:50:00,CDF-BY,P100301,OUT,Gate B
E0004234,2025-07-02 10:09:00,BHM-PR,P100106,IN,Reception
E0003211,2025-06-25 17:35:00,MCH-CC,P100607,OUT,Gate B
E0010065,2025-08-14 09:49:00,LDN-HQ,P100495,IN,Reception
E0005769,2025-07-13 14:56:00+00:00,LDN-HQ,P100578,OUT,Turnstile 1
E0008374,2025-08-02 07:44:00,MCH-CC,P100434,IN,Gate B
E0008720,2025-08-05 16:25:00,LDN-HQ,P100032,OUT,Turnstile 1
E0010859,20/08/2025 07:44,GLW-CL,P100140,IN,Turnstile 1
E0005045,2025-07-07 17:29:00,LDN-HQ,P100413,OUT,Turnstile 1
E0005382,2025-07-10 17:03:00,LDS-AR,P100345,OUT,Turnstile 1
E0012657,2025-06-17 15:20:00,GLW-CL,X267113,IN,Turnstile 1
E0004036,30/06/2025 11:47,BHM-PR,P100388,IN,Reception
E0002901,2025-06-22 16:52:00,BEL-LG,P100427,OUT,Gate A
E0008977,2025-08-07 10:47:00,MCH-CC,P100340,IN,Gate B
E0002237,2025-06-18 10:58:00,GLW-CL,P100067,IN,Turnstile 1
E0000386,2025-06-03 12:47:00,MCH-CC,P100410,OUT,Gate A
E0000587,05/06/2025 08:05,LDS-AR,P100258,IN,Turnstile 1
E0004101,2025-06-30 09:46:00,LDN-HQ,P100306,IN,Reception
E0000534,2025-06-04 19:12:00,edi-ex,P100033,OUT,Gate A
E0007753,2025-07-29 13:25:00,MCH-CC,P100107,OUT,Gate B
E0005602,2025-07-12 07:37:00,BRI-01,P100478,IN,Reception
E0008689,2025-08-05 10:08:00,NRW-QP,P100401,IN,Reception
E0003069,2025-06-23 10:03:00,NRW-QP,P100029,IN,Gate A
E0004049,2025-06-30 14:43:00,EDI-EX,P100282,OUT,Turnstile 1
E0011627,25/08/2025 10:30,EDI-EX,P100285,IN,Reception
E0005703,2025-07-12 09:24:00,NRW-QP,P100445,IN,Gate B
E0006128,2025-07-16 13:44:00,BEL-LG,P100160,OUT,Turnstile 1
E0005757,2025-07-13 18:55:00,GLW-CL,P100229,OUT,Turnstile 1
E0005774,2025-07-13 10:13:00,MCH-CC,P100297,IN,Reception
E0003022,2025-06-23 11:32:00,Unknown,P100076,IN,Gate B
E0006663,2025-07-20 16:20:00,,P100345,OUT,Gate A
E0008337,2025-08-02 16:34:00,CDF-BY,P100331,OUT,Gate A
E0001845,2025-06-15 07:28:00,MCH-CC,P100482,IN,Turnstile 1
E0010931,2025-08-20 16:00:00+00:00,BHM-PR,P100454,OUT,Reception
E0012975,2025-07-31 08:32:00,BRI-01,X216441,IN,Gate A
E0012218,2025-08-30 08:57:00,BHM-PR,P100027,IN,Reception
E0009183,2025-08-08 08:24:00,MCH-CC,P100083,IN,Gate A
E0012940,2025-06-06 14:02:00,NRW-QP,X269814,OUT,Turnstile 1
E0005615,2025-07-12 07:56:00,MCH-CC,P100612,IN,Reception
E0005033,2025-07-07 11:13:00,BEL-LG,P100216,IN,Reception
E0010898,2025-08-20 17:01:00,LDS-AR,P100195,OUT,Gate B
E0006291,2025-07-17 11:30:00,MCH-CC,P100639,IN,Gate A
E0002629,2025-06-20 09:40:00,BEL-LG,P100052,IN,Turnstile 1
E0011859,2025-08-27 14:03:00,CDF-BY,P100140,OUT,Reception
E0002985,2025-06-23 17:19:00,LDS-AR,P100261,OUT,Gate B
E0010088,2025-08-14 18:08:00,BHM-PR,P100566,OUT,Reception
E0008171,2025-08-01 15:25:00,BRI-01,P100369,OUT,Gate B
E0002118,2025-06-17 08:58:00,LDS-AR,P100513,IN,Gate B
E0004070,2025-06-30 08:43:00,BRI-01,P100621,IN,Gate B
E0002309,2025-06-18 11:12:00,BEL-LG,P100078,IN,Turnstile 1
E0009799,2025-08-12 16:23:00,NRW-QP,P100161,OUT,Gate A
E0008690,2025-08-05 18:40:00,NRW-QP,P100401,OUT,Turnstile 1
E0001176,2025-06-10 08:11:00,BEL-LG,P100257,IN,Turnstile 1
E0006493,2025-07-18 19:22:00,EDI-EX,P100467,OUT,Gate A
E0001484,2025-06-12 15:49:00,LDS-AR,P100467,OUT,Reception
E0001324,2025-06-11 10:19:00,BEL-LG,P100565,IN,Gate A
E0007703,2025-07-28 17:04:00,CDF-BY,P100395,OUT,Reception
E0011520,24/08/2025 07:01,EDI-EX,P100593,IN,Gate A
E0006915,2025-07-22 09:12:00,edi-ex,P100146,IN,Gate A
E0009456,2025-08-10 11:00:00,MCH-CC,P100488,IN,Gate A
E0008640,2025-08-05 12:04:00,BRI-01,P100117,OUT,Turnstile 1
E0002125,2025-06-17 16:14:00+00:00,GLW-CL,P100039,OUT,Gate B
E0006640,2025-07-20 08:42:00,NRW-QP,P100075,IN,Turnstile 1
E0010552,2025-08-18 14:08:00,NRW-QP,P100225,OUT,Reception
E0006432,2025-07-18 17:06:00,Unknown,P100385,OUT,Gate A
E0010726,2025-08-19 09:50:00,MCH-CC,P100482,IN,Reception
E0000609,2025-06-05 14:59:00,LDS-AR,P100513,OUT,Reception
E0007730,2025-07-29 11:59:00,LDN-HQ,P100430,IN,Reception
E0003106,2025-06-24 09:06:00,BRI-01,P100390,IN,Turnstile 1
E0010810,2025-08-19 07:34:00,BRI-01,P100515,IN,Gate A
E0007774,2025-07-29 11:26:00,BEL-LG,P100550,IN,Turnstile 1
E0004964,2025-07-07 19:34:00,EDI-EX,P100164,OUT,Gate A
E0007941,2025-07-30 21:21:00+01:00,GLW-CL,P100307,OUT,Gate B
E0012879,2025-07-29 08:50:00,MCH-CC,X233099,IN,Gate A
E0009683,2025-08-11 07:59:00,mch_cc,P100415,IN,Reception
E0000938,2025-06-08 10:43:00,EDI-EX,P100567,IN,Gate B
E0003155,2025-06-24 13:01:00,LDN-HQ,P100124,OUT,Gate A
E0011099,22/08/2025 07:25,NRW-QP,P100290,IN,Gate A
E0012132,2025-08-29 10:36:00,BHM-PR,P100177,IN,Gate A
E0010294,2025-08-15 20:42:00,LDS-AR,P100042,OUT,Gate B
E0009295,2025-08-09 08:57:00,NRW-QP,P100618,IN,Gate A
E0010873,2025-08-20 16:41:00,BHM-PR,P100049,OUT,Gate A
E0001198,2025-06-10 22:01:00,EDI-EX,P100509,OUT,Gate B
E0001956,16/06/2025 09:35,BEL-LG,P100103,IN,Reception
E0002999,2025-06-23 14:49:00,BHM-PR,P100269,OUT,Gate B
E0004412,2025-07-03 09:04:00,BEL-LG,P100481,IN,Reception
E0007746,2025-07-29 11:28:00,CDF-BY,P100034,IN,Reception
E0000036,2025-06-01 11:16:00,BRI-01,P100070,IN,Gate A
E0005621,2025-07-12 17:17:00,CDF-BY,P100058,OUT,Reception
E0011558,2025-08-25 14:02:00,edi-ex,P100033,OUT,Gate B
E0007969,2025-07-30 10:17:00,BRI-01,P100315,IN,Gate B
E0006674,2025-07-20 08:44:00,BEL-LG,P100350,IN,Gate B
E0010334,2025-08-15 10:08:00,LDS-AR,P100554,IN,Gate B
E0007697,2025-07-28 14:20:00,MCH-CC,P100465,OUT,Turnstile 1
E0004990,2025-07-07 14:03:00,BHM-PR,P100418,OUT,Turnstile 1
E0001651,2025-06-13 12:06:00,MCH-CC,P100580,OUT,Reception
E0000048,2025-06-01 18:20:00,NRW-QP,P100535,OUT,Turnstile 1
E0012621,2025-06-09 12:22:00,BRI-01,X213217,OUT,Reception
E0003471,2025-06-27 10:03:00,EDI-EX,P100451,OUT,Turnstile 1
E0007214,2025-07-24 06:50:00,BHM-PR,P100349,OUT,Reception
E0010447,2025-08-16 18:30:00+00:00,LDS-AR,P100021,OUT,Gate A
E0012999,2025-06-16 08:44:00,LDS-AR,X298094,IN,Gate A
E0012672,2025-06-17 13:06:00,GLW-CL,X258149,OUT,Reception
E0009082,2025-08-07 18:57:00,BEL-LG,P100256,OUT,Turnstile 1
E0010872,2025-08-20 08:46:00,BHM-PR,P100049,IN,Reception
E0007091,2025-07-23 17:33:00,BHM-PR,P100269,OUT,Reception
E0003653,28/06/2025 10:47,LDS-AR,P100323,IN,Reception
E0009970,2025-08-13 17:59:00+01:00,BEL-LG,P100015,OUT,Gate A
E0004979,2025-07-07 11:04:00,LDN-HQ,P100570,IN,Gate A
E0011118,2025-08-22 09:42:00,LDS-AR,P100109,IN,Reception
E0000380,2025-06-03 20:20:00,BEL-LG,P100197,OUT,Turnstile 1
E0005550,2025-07-12 14:48:00,LDN-HQ,P100222,OUT,Turnstile 1
E0008310,02/08/2025 11:10,BHM-PR,P100080,IN,Gate A
E0008929,06/08/2025 09:22,LDS-AR,P100526,IN,Gate B
E0010015,2025-08-14 11:41:00,LDS-AR,P100590,IN,Turnstile 1
E0001580,2025-06-13 07:09:00,GLW-CL,P100416,IN,Turnstile 1
E0003422,2025-06-26 09:53:00,BRI-01,P100184,IN,Reception
E0007429,2025-07-26 18:44:00,EDI-EX,P100085,OUT,Gate A
E0006570,2025-07-19 08:55:00,BHM-PR,P100546,IN,Gate B
E0005915,2025-07-14 15:41:00,EDI-EX,P100563,OUT,Gate A
E0001227,2025-06-11 17:38:00+00:00,BHM-PR,P100449,OUT,Gate A
E0001154,2025-06-10 11:34:00,CDF-BY,P100031,IN,Turnstile 1
E0008399,02/08/2025 09:31,GLW-CL,P100503,IN,Gate A
E0011998,2025-08-28 18:33:00,GLW CL,P100273,OUT,Gate B
E0001922,2025-06-16 08:20:00,GLW-CL,P100155,IN,Gate B
E0003474,27/06/2025 07:43,BRI-01,P100235,IN,Reception
E0002902,2025-06-22 10:48:00,MCH-CC,P100287,IN,Turnstile 1
E0003856,2025-06-29 10:50:00,EDI-EX,P100057,IN,Gate B
E0008277,2025-08-01 11:17:00,GLW-CL,P100039,IN,Reception
E0010436,2025-08-16 10:42:00,LDS-AR,P100605,IN,Gate A
E0011320,2025-08-23 10:30:00,EDI-EX,P100577,IN,Gate B
E0006030,2025-07-15 20:45:00,LDN-HQ,P100476,OUT,Gate A
E0007947,2025-07-30 05:31:00,EDI-EX,P100283,OUT,Gate B
E0008137,2025-08-01 15:37:00,BRI-01,P100602,OUT,Gate A
E0001007,2025-06-09 18:30:00,BHM-PR,P100152,OUT,Gate B
E0007526,2025-07-27 18:57:00,GLW-CL,P100026,OUT,Gate A
E0005405,10/07/2025 11:34,BHM-PR,P100014,IN,Turnstile 1
E0002911,2025-06-22 08:00:00,GLW-CL,P100128,IN,Gate B
E0010776,2025-08-19 22:11:00,EDI-EX,P100085,OUT,Gate A
E0011947,2025-08-27 20:54:00,CDF-BY,P100227,OUT,Gate B
E0011525,2025-08-24 16:04:00,EDI-EX,P100043,OUT,Turnstile 1
E0004773,2025-07-06 16:45:00,Glasgow Clyde,P100396,OUT,Gate B
E0005131,2025-07-08 17:28:00,CDF-BY,P100054,OUT,Gate A
E0005618,2025-07-12 11:11:00,LDN-HQ,P100495,IN,Gate A
E0012700,2025-08-31 12:49:00,EDI-EX,X268344,IN,Reception
E0007763,2025-07-29 19:48:00,BEL-LG,P100175,OUT,Turnstile 1
E0007112,2025-07-23 09:34:00,BHM-PR,P100584,IN,Reception
E0006150,2025-07-16 17:33:00,BEL-LG,P100296,OUT,Turnstile 1
E0010645,2025-08-18 21:06:00,GLW-CL,P100026,OUT,Reception
E0004784,2025-07-06 07:41:00,LDS-AR,P100092,IN,Turnstile 1
E0007641,2025-07-28 18:00:00,BEL-LG,P100356,OUT,Reception
E0005767,2025-07-13 19:52:00,NRW-QP,P100050,OUT,Turnstile 1
E0011728,26/08/2025 09:10,LDN-HQ,P100411,IN,Turnstile 1
E0002311,2025-06-19 10:56:00,BRI-01,P100122,IN,Gate A
E0010505,2025-08-17 17:41:00,GLW-CL,P100277,OUT,Turnstile 1
E0000219,02/06/2025 10:25,GLW-CL,P100569,IN,Reception
E0005219,09/07/2025 09:00,MCH-CC,P100209,IN,Gate B
E0000896,2025-06-08 19:59:00,NRW-QP,P100472,OUT,Gate B
E0007732,2025-07-29 10:39:00,NRW-QP,P100609,IN,Turnstile 1
E0002146,2025-06-17 07:16:00,,P100340,IN,Gate B
E0003468,2025-06-26 10:27:00,GLW-CL,P100585,IN,Turnstile 1
E0000182,2025-06-02 17:24:00,BEL-LG,P100234,OUT,Gate A
E0000312,2025-06-02 20:37:00,EDI-EX,P100626,OUT,Reception
E0008091,2025-07-31 14:51:00,LDS-AR,P100425,OUT,Gate B
E0003493,2025-06-27 17:04:00,MCH-CC,P100647,OUT,Gate B
E0001179,2025-06-10 17:04:00,MCH-CC,P100482,OUT,Turnstile 1
E0001622,2025-06-13 15:55:00,bri_01,P100125,OUT,Gate A
E0007311,2025-07-25 11:05:00,NRW-QP,P100611,IN,Gate B
E0004534,2025-07-04 18:06:00,BEL-LG,P100052,OUT,Turnstile 1
E0006203,2025-07-16 18:59:00+00:00,BRI-01,P100301,OUT,Gate A
E0011572,2025-08-25 12:11:00,EDI-EX,P100633,OUT,Gate A
E0000291,2025-06-02 08:10:00,MCH-CC,P100044,IN,Gate A
E0000400,2025-06-03 09:33:00,LDN-HQ,P100578,IN,Turnstile 1
E0000354,2025-06-03 09:01:00,,P100194,IN,Gate A
E0001792,2025-06-15 08:02:00,GLW-CL,P100548,IN,Gate B
E0009583,2025-08-10 15:45:00,LDS-AR,P100355,OUT,Gate A
E0011317,23/08/2025 10:22,BEL-LG,P100296,IN,Turnstile 1
E0000539,2025-06-04 09:48:00,EDI-EX,P100207,IN,Gate B
E0004302,2025-07-02 17:26:00,BHM-PR,P100252,OUT,Reception
E0001079,2025-06-09 10:25:00,NRW-QP,P100439,IN,Gate B
E0004502,2025-07-04 08:50:00,,P100605,IN,Gate A
E0006880,2025-07-22 13:02:00,Unknown,P100416,OUT,Gate B
E0004133,2025-07-01 11:17:00,NRW-QP,P100448,IN,Reception
E0003586,2025-06-27 20:33:00,EDI-EX,P100467,OUT,Reception
E0012712,2025-08-08 11:15:00,LDS-AR,X292399,OUT,Reception
E0010643,2025-08-18 16:15:00,LDN-HQ,P100018,OUT,Gate B
E0006437,2025-07-18 07:14:00,BHM-PR,P100008,IN,Turnstile 1
E0003036,2025-06-23 17:01:00,NRW-QP,P100456,OUT,Gate B
E0010288,2025-08-15 10:32:00,LDN-HQ,P100578,IN,Reception
E0008401,2025-08-02 10:11:00,,P100176,IN,Turnstile 1
E0002376,2025-06-19 17:44:00,GLW-CL,P100380,OUT,Gate B
E0007061,2025-07-23 11:45:00,CDF-BY,P100370,IN,Gate A
E0007329,2025-07-25 09:18:00,CDF-BY,P100447,IN,Reception
E0007935,2025-07-30 10:17:00,BHM-PR,P100304,IN,Turnstile 1
E0002035,2025-06-17 16:10:00,MCH-CC,P100312,OUT,Gate A
E0004095,2025-06-30 08:35:00,LDS-AR,P100176,IN,Gate B
E0000748,2025-06-06 22:06:00,CDF-BY,P100301,OUT,Turnstile 1
E0003394,2025-06-26 07:48:00,CDF-BY,P100586,IN,Gate B
E0004739,2025-07-06 07:13:00,MCH-CC,P100312,IN,Gate B
E0001800,2025-06-15 17:28:00+00:00,LDS-AR,P100195,OUT,Gate B
